objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,20231103_144609.jpg,,,Grave Stone of Colin Joseph Maloney,Bria Eldon,2023-11-03,This is a photo of a tombstone in the Toronto Necropolois,"tomb, grave, memorial, Toronto, Necropolis","Toronto, Ontario",,,,,,image/jpeg,eng,,
coll002,20231103_154636.jpg,,,George Brown Plaque ,Bria Eldon,2023-11-03,This is a plaque in front of the tomb of George Brown,"plaque, memorial, Toronto, Necropolis","Toronto, Ontario",,,,,,,,,
coll003,show_notes.md,,,Show Notes,Bria Eldon,2023-11-19,Summary of Toronto Necropolis podcast ,"Toronto, Necropolis, notes","Toronto, Ontario",,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
